# Written by the BoltzWann module of the Wannier90 code.
# The first column.
# The second column is the DOS for a fixed smearing of   0.300000E-01 eV.
# Cell volume (ang^3):     40.3295    
# Energy(eV) DOS [DOS DOS ...]
   -6.517887843      0.8925144775    
   -6.507887843      0.8997541350    
   -6.497887843      0.8893059137    
   -6.487887843      0.8632975652    
   -6.477887843      0.8305097788    
   -6.467887843      0.8020209563    
   -6.457887843      0.7860520810    
   -6.447887843      0.7846642307    
   -6.437887843      0.7935854542    
   -6.427887843      0.8047809121    
   -6.417887843      0.8101623004    
   -6.407887843      0.8046484218    
   -6.397887843      0.7874144627    
   -6.387887843      0.7613175074    
   -6.377887843      0.7315971701    
   -6.367887843      0.7045627774    
   -6.357887843      0.6856464264    
   -6.347887843      0.6768633485    
   -6.337887843      0.6758119506    
   -6.327887843      0.6777914061    
   -6.317887843      0.6793926484    
   -6.307887843      0.6803381311    
   -6.297887843      0.6822130709    
   -6.287887843      0.6857062038    
   -6.277887843      0.6890537647    
   -6.267887843      0.6887955000    
   -6.257887843      0.6819273279    
   -6.247887843      0.6681674242    
   -6.237887843      0.6512029191    
   -6.227887843      0.6373335033    
   -6.217887843      0.6312107604    
   -6.207887843      0.6321572091    
   -6.197887843      0.6355648291    
   -6.187887843      0.6384755084    
   -6.177887843      0.6426199196    
   -6.167887843      0.6502936134    
   -6.157887843      0.6573323503    
   -6.147887843      0.6526685327    
   -6.137887843      0.6273758446    
   -6.127887843      0.5840820282    
   -6.117887843      0.5363077750    
   -6.107887843      0.4992723987    
   -6.097887843      0.4820946888    
   -6.087887843      0.4863895319    
   -6.077887843      0.5085358449    
   -6.067887843      0.5420432980    
   -6.057887843      0.5789827398    
   -6.047887843      0.6108421104    
   -6.037887843      0.6298846233    
   -6.027887843      0.6316680459    
   -6.017887843      0.6172530039    
   -6.007887843      0.5928444926    
   -5.997887843      0.5667630029    
   -5.987887843      0.5455544217    
   -5.977887843      0.5311457797    
   -5.967887843      0.5208053245    
   -5.957887843      0.5104430612    
   -5.947887843      0.4985692917    
   -5.937887843      0.4871013080    
   -5.927887843      0.4789564521    
   -5.917887843      0.4758712451    
   -5.907887843      0.4781590704    
   -5.897887843      0.4849585457    
   -5.887887843      0.4941098854    
   -5.877887843      0.5025258275    
   -5.867887843      0.5068842815    
   -5.857887843      0.5036953398    
   -5.847887843      0.4900855983    
   -5.837887843      0.4670680613    
   -5.827887843      0.4425442972    
   -5.817887843      0.4288469764    
   -5.807887843      0.4349597341    
   -5.797887843      0.4602168203    
   -5.787887843      0.4952783859    
   -5.777887843      0.5287112490    
   -5.767887843      0.5523380850    
   -5.757887843      0.5612202081    
   -5.747887843      0.5511427831    
   -5.737887843      0.5190504248    
   -5.727887843      0.4671927129    
   -5.717887843      0.4062772308    
   -5.707887843      0.3530487323    
   -5.697887843      0.3227637591    
   -5.687887843      0.3219090923    
   -5.677887843      0.3463660367    
   -5.667887843      0.3851643000    
   -5.657887843      0.4257904991    
   -5.647887843      0.4577586020    
   -5.637887843      0.4742369257    
   -5.627887843      0.4728438406    
   -5.617887843      0.4559498466    
   -5.607887843      0.4300219367    
   -5.597887843      0.4037434663    
   -5.587887843      0.3854339629    
   -5.577887843      0.3809650794    
   -5.567887843      0.3928680148    
   -5.557887843      0.4196197563    
   -5.547887843      0.4540714639    
   -5.537887843      0.4830830486    
   -5.527887843      0.4917539199    
   -5.517887843      0.4712113440    
   -5.507887843      0.4241880671    
   -5.497887843      0.3642445651    
   -5.487887843      0.3096915934    
   -5.477887843      0.2760756597    
   -5.467887843      0.2709079375    
   -5.457887843      0.2926895727    
   -5.447887843      0.3335902141    
   -5.437887843      0.3828798394    
   -5.427887843      0.4286733251    
   -5.417887843      0.4584907440    
   -5.407887843      0.4613643528    
   -5.397887843      0.4327264876    
   -5.387887843      0.3791270510    
   -5.377887843      0.3178901797    
   -5.367887843      0.2701561866    
   -5.357887843      0.2512920575    
   -5.347887843      0.2649148156    
   -5.337887843      0.3038779262    
   -5.327887843      0.3562737046    
   -5.317887843      0.4111239508    
   -5.307887843      0.4595275764    
   -5.297887843      0.4919642754    
   -5.287887843      0.4972109321    
   -5.277887843      0.4672341583    
   -5.267887843      0.4049029523    
   -5.257887843      0.3261327364    
   -5.247887843      0.2528464763    
   -5.237887843      0.2025805961    
   -5.227887843      0.1830539789    
   -5.217887843      0.1936091126    
   -5.207887843      0.2290295242    
   -5.197887843      0.2814374084    
   -5.187887843      0.3401270045    
   -5.177887843      0.3918257638    
   -5.167887843      0.4234356713    
